# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   256   1ntg   315.64   268.05   128.93    62.38
knl   2   121   1ntg   304.73   254.23   129.95    53.18
knl   4   64   1ntg   317.63   258.20   137.79    46.11
knl   8   25   1ntg   381.16   305.14   177.88    57.76
knl   16   16   1ntg   514.97   399.74   264.28    63.12
# ntg-2
knl   1   256   2ntg   283.74   247.09   104.76    61.17
knl   2   121   2ntg   324.04   252.05   106.02    53.74
knl   4   64   2ntg   268.53   224.41   107.42    47.81
knl   8   25   2ntg   342.84   275.31   140.60    59.62
knl   16   16   2ntg   437.03   334.09   204.83    63.96
# ntg-4
knl   1   256   4ntg   279.51   237.99    97.23    60.79
knl   2   121   4ntg   262.74   218.19    95.47    49.71
knl   4   64   4ntg   298.68   220.40    99.67    48.47
knl   8   25   4ntg   353.11   256.71   128.63    56.70
knl   16   16   4ntg   411.22   315.33   183.02    63.59
# ntg-8
knl   1   256   8ntg   277.18   241.03    92.25    60.86
knl   2   121   8ntg   268.33   229.22    90.82    52.88
knl   4   64   8ntg   302.44   212.06    96.09    45.14
knl   8   25   8ntg   316.71   252.04   121.62    57.11
knl   16   16   8ntg   391.11   302.47   168.80    63.35
# ntg-16
knl   1   256   16ntg   272.65   230.37    89.93    58.58
knl   2   121   16ntg   246.77   210.73    84.16    52.66
knl   4   64   16ntg   264.41   221.40    95.23    48.41
knl   8   25   16ntg   307.01   246.76   115.61    59.77
knl   16   16   16ntg   368.62   282.44   146.80    62.75
# ntg-32
knl   1   256   32ntg   284.72   248.13    93.25    60.98
knl   2   121   32ntg   268.32   230.88    93.70    53.04
knl   4   64   32ntg   316.57   247.37   103.80    47.95
knl   8   25   32ntg   321.87   258.35   116.49    56.67
