# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
bdw   1   576   1ntg   127.50   100.37    50.33    21.81
bdw   2   256   1ntg   112.89    83.44    40.81    16.38
bdw   3   169   1ntg   116.60    85.44    44.95    13.88
bdw   6   81   1ntg   103.12    86.49    44.80    13.99
bdw   9   64   1ntg   124.64    89.66    48.72    12.60
# ntg-2
bdw   1   576   2ntg   105.60    89.20    34.82    22.96
bdw   2   256   2ntg    91.63    77.32    32.16    15.90
bdw   3   169   2ntg    89.35    76.28    31.55    14.56
bdw   6   81   2ntg    94.26    79.19    35.84    13.72
bdw   9   64   2ntg    98.23    80.55    38.66    12.88
# ntg-3
bdw   1   576   3ntg    99.28    86.14    32.55    22.63
bdw   2   256   3ntg    91.09    76.81    30.30    16.51
bdw   3   169   3ntg    87.98    74.56    29.44    14.30
bdw   6   81   3ntg    95.19    79.73    34.42    14.35
# ntg-4
bdw   1   576   4ntg    93.41    82.42    28.97    22.54
bdw   2   256   4ntg    88.71    75.36    29.13    16.42
bdw   3   169   4ntg    90.07    75.03    30.04    14.29
bdw   6   81   4ntg    95.29    79.72    34.88    14.09
bdw   9   64   4ntg    97.73    80.78    36.80    13.19
# ntg-6
bdw   1   576   6ntg    93.69    81.29    27.95    21.88
bdw   2   256   6ntg    88.97    75.95    28.43    16.83
bdw   3   169   6ntg    86.55    73.06    28.30    14.78
bdw   6   81   6ntg    91.14    77.39    32.70    14.19
# ntg-8
bdw   1   576   8ntg   110.63    85.22    27.95    24.27
bdw   2   256   8ntg    94.13    72.42    27.29    15.93
bdw   3   169   8ntg    89.82    75.24    28.70    15.48
bdw   6   81   8ntg    92.68    76.83    33.20    14.45
bdw   9   64   8ntg    97.98    77.89    36.92    11.95
