# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
bdw   1   256   1ntg   148.21   130.21    55.62    24.34
bdw   2   144   1ntg   142.43   120.24    53.05    17.34
bdw   3   81   1ntg   142.47   121.95    51.56    17.79
bdw   6   36   1ntg   137.07   117.04    49.70    17.53
bdw   9   25   1ntg   141.09   121.18    50.07    18.91
# ntg-2
bdw   1   256   2ntg   143.76   127.76    51.42    23.17
bdw   2   144   2ntg   135.66   119.31    49.82    17.38
bdw   3   81   2ntg   137.01   122.25    50.23    17.57
bdw   6   36   2ntg   133.59   117.50    48.59    17.63
bdw   9   25   2ntg   137.34   120.83    49.08    19.37
# ntg-3
bdw   2   144   3ntg   134.57   117.43    47.86    17.63
bdw   3   81   3ntg   133.72   119.17    47.43    17.52
bdw   6   36   3ntg   132.96   117.64    46.31    17.83
# ntg-4
bdw   1   256   4ntg   139.42   124.40    48.01    23.79
bdw   2   144   4ntg   133.46   116.71    46.57    18.02
bdw   3   81   4ntg   131.89   118.58    45.83    17.80
bdw   6   36   4ntg   132.93   115.55    46.88    17.29
bdw   9   25   4ntg   137.73   121.63    49.82    18.62
# ntg-6
bdw   2   144   6ntg   134.02   117.20    46.67    18.53
bdw   3   81   6ntg   134.14   120.16    46.50    17.76
bdw   6   36   6ntg   133.93   118.29    48.36    17.70
# ntg-8
bdw   1   256   8ntg   145.48   126.92    51.15    23.17
bdw   2   144   8ntg   137.75   118.69    48.19    18.70
bdw   3   81   8ntg   140.46   119.87    49.03    18.16
bdw   6   36   8ntg   146.81   118.57    51.53    18.17
bdw   9   25   8ntg   140.93   121.71    52.02    18.71
