# processor   nt  ndiag  ntg  electrons cegterg  h_psi  cdiaghg  rest
# ntg-1
knl   1   121   1ntg   463.51   401.82   185.53    72.39
knl   2   64   1ntg   431.98   376.96   177.11    62.68
knl   4   25   1ntg   446.17   374.74   166.04    71.62
knl   8   16   1ntg   444.68   389.81   168.15    66.23
knl   16   4   1ntg   459.15   390.38   184.86    90.26
knl   32   4   1ntg   508.66   426.13   216.06    84.00
# ntg-2
knl   1   121   2ntg   432.04   379.05   168.67    71.55
knl   2   64   2ntg   416.78   370.42   170.26    64.90
knl   4   25   2ntg   418.60   366.20   158.21    73.22
knl   8   16   2ntg   409.04   356.47   160.75    66.57
knl   16   4   2ntg   460.35   395.09   173.29    94.00
knl   32   4   2ntg   511.39   437.89   233.17    84.57
# ntg-4
knl   1   121   4ntg   425.43   370.27   158.85    66.87
knl   2   64   4ntg   405.62   357.75   154.51    65.24
knl   4   25   4ntg   402.28   346.96   142.67    69.64
knl   8   16   4ntg   396.00   341.29   146.64    67.13
knl   16   4   4ntg   436.62   368.90   160.65    91.28
knl   32   4   4ntg   482.00   410.77   208.37    86.89
# ntg-8
knl   1   121   8ntg   427.40   365.96   154.28    71.36
knl   2   64   8ntg   393.34   342.85   143.29    61.10
knl   4   25   8ntg   404.30   351.14   140.86    70.22
knl   8   16   8ntg   388.91   338.20   142.28    67.29
knl   16   4   8ntg   413.31   356.51   139.44    94.74
# ntg-16
knl   1   121   16ntg   415.46   362.94   150.95    71.44
knl   2   64   16ntg   386.32   343.89   141.96    64.69
knl   4   25   16ntg   394.99   345.52   142.19    73.42
knl   8   16   16ntg   376.45   325.85   130.22    67.32
# ntg-32
knl   1   121   32ntg   448.96   399.97   164.19    71.64
knl   2   64   32ntg   448.12   395.25   160.79    63.70
knl   4   25   32ntg   425.77   369.78   147.85    69.73
